"","kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.302203710707111,0.257516603474023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.697796289292889,0.742483396525977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000515160920439573,NA,NA,NA,NA,NA,NA,0.982702726369541,0.314733482153725,0.325475792613275,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.463716133502925,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0061137928794792,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.0087390173712119,NA,NA,NA,0.452207330951363,0.0866928807293959,0.0567968217170172,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0889588516381524,NA,NA,NA,NA,0.256271429606362,0.0510916420256796,0.137814565523228
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0125199017649092,NA,NA,NA
"phyt",NA,NA,0.909112543763446,NA,NA,NA,NA,NA,NA,0.0172972736304589,0.685266517846274,0.2108080738838,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.657585067000736,0.141259633159375,0.944937267841293,0.360900715724159,0.382212981935486,NA,NA,NA,NA,NA,NA,NA,0.00941113848168825
"carnzoo",NA,NA,NA,NA,NA,NA,0.132093477467269,0.0151952201786633,0.0705675125669175,NA,NA,NA,NA,0.0920036085476119,0,0.0191904625928011
"fishplar",NA,NA,NA,0.0201210563548202,NA,NA,0.144198559362716,0.0475799833900833,0.14377551961503,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0503364518273531,NA,NA,0.193844262120676,0.0646704141856092,0.101925752577718,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.104143149340721,NA,NA,NA,NA,0.233057000568483,0.135159520343082,0.313600716108875
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.0181019050502427,NA,NA,NA,NA,0.184449442217328,0.342665036282863,0.378193039312754
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.0049664991545129,NA,NA,NA,NA,0.147525638330819,0.414286979631359,0.136843947622507
"benthslar",NA,NA,0.00151180469050252,0.164333967704786,0.56590890686728,0.0463417835165769,0.0919216958403485,0.269183399837334,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.0888604906256118,0.107623457112305,0.292831459973345,0.00872094864213057,0.0770412894848311,0.221158000472824,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.384735824328873,NA,NA,NA,0.529158974404249,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0740859683566211,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00494613035814669
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
